journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Perceptual and Motor Skills	2018-04-10	2018-04-10	2018-04-09	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	Percept Mot Skills	NA	en	003151251876775	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0.465	B1
Interações (Campo Grande)	2017-05-30	2020-09-09	2017-05-30	10.20435/inter.v18i2.1410	2022-06-14	1984-042X	NA	2017-05-30	8337	10.20435	Universidade Catolica Dom Bosco	1	Crossref	0	0	6	NA	Cadê a minha cidade, ou o impacto da tragédia da Samarco na vida dos moradores de Bento Rodrigues	journal-article	http://dx.doi.org/10.20435/inter.v18i2.1410	NA	Inter	NA	NA	3-12	NA	NA	NA	NA	NA	Maria Geralda Miranda, Reis Friede, Aline Cordeiro Rodrigues, Dafne Sampaio Almeida	2017	6	TRUE	NA	NA	A3
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140049	2022-03-31	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	CFD and Chemical Defense	journal-article	http://dx.doi.org/10.5935/1984-6835.20140049	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Ardson S. Vianna Jr., Fábio C. S. de Siqueira, Leandro R. Quintal, Antônio Luiz S. Lima	2014	0	TRUE	0.7	0.151	B2
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.438	2022-03-31	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	10	10	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Characterization of Precursor Clay Body and Weibull Analysis of the Compressive Strength of Structural Blocks	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.438	820	MSF	NA	NA	438-442	NA	NA	NA	NA	NA	Neila Gondim Azeredo, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	0	FALSE	1.0	0.185	B3
Journal of Medicinal Plants Research	2014-11-06	2020-08-26	2014-06-10	10.5897/jmpr2013.4425	2022-12-16	1996-0875	22	2014-06-10	3908	10.5897	Academic Journals	1	Crossref	26	26	8	Complementary and alternative medicine,Plant Science,Drug Discovery,Pharmaceutical Science,Pharmacology	Chemical composition and antinociceptive activity of the essential oil of Piper mollicomum and Piper rivinoides	journal-article	http://dx.doi.org/10.5897/jmpr2013.4425	8	J. Med. Plants Res.	NA	NA	788-793	http://dx.doi.org/10.5897/crossmark_policy	NA	NA	NA	NA	P. de Souza Stefnia, S. Valverde Simone, F. Costa Nathalia, S. Calheiros Andrea, S. C. Lima Keila, S. Frutuoso Valber, L. S. Lima Antnio	2014	8	TRUE	NA	NA	B3
Applied Clay Science	2016-07-10	2019-08-10	NA	10.1016/j.clay.2016.07.001	2023-06-28	0169-1317	NA	2016-11	78	10.1016	Elsevier BV	1	Crossref	58	58	49	Geochemistry and Petrology,Geology	Clay bricks added with effluent sludge from paper industry: Technical, economical and environmental benefits	journal-article	http://dx.doi.org/10.1016/j.clay.2016.07.001	132-133	Applied Clay Science	2016-11	en	753-759	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Carlos Maurício F. Vieira, Regina M. Pinheiro, Ruben J. Sanchez Rodriguez, Veronica S. Candido, Sergio N. Monteiro	2016	49	FALSE	10.8	0.985	A1
Semioses	2016-11-11	2016-11-14	2016-11-14	10.15202/1981996x.2016v10n2p77	2022-04-03	1981-996X	2	2016-11-14	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	COLETA SELETIVA DE RESÍDUO SÓLIDO URBANO: UM COMPARATIVO ENTRE AS CIDADES DE BELO HORIZONTE E RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2016v10n2p77	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Débora Coqui Coqui, Rodrigo Otavio De Souza, Roy Reis Friede	2016	0	TRUE	NA	NA	B3
Educação Formação	2019-05-01	2021-06-01	2019-05-01	10.25053/redufor.v4i11.924	2022-04-04	2448-3583	11 mai/ago	2019-05-01	10693	10.25053	Educacao e Formacao	1	Crossref	24	24	1	General Medicine	Coleta seletiva e educação ambiental: reciclar valores e reduzir o lixo	journal-article	http://dx.doi.org/10.25053/redufor.v4i11.924	4	Redufor	NA	pt	117-141	http://dx.doi.org/10.25053/retratacao	NA	NA	LOCKSS	LOCKSS	Reis Friede, Danielle Reis, Katia Avelar, Maria Geralda de Miranda	2019	1	TRUE	NA	NA	A3
International Journal of Engineering Research and Science	2017-12-10	2017-12-10	2017-11-30	10.25125/engineering-journal-ijoer-nov-2017-19	2023-05-15	2395-6992	11	2017-11-30	10749	10.25125	AD Publications	1	Crossref	0	0	5	Industrial and Manufacturing Engineering,Metals and Alloys,Strategy and Management,Mechanical Engineering	Comparison of Turbulence Models in the Flow over a Backward Facing Step	journal-article	http://dx.doi.org/10.25125/engineering-journal-ijoer-nov-2017-19	3	IJOER	NA	NA	88-93	NA	NA	NA	NA	NA	Priscila Pires Araujo, André Luiz Tenório Rezende	2017	5	TRUE	NA	NA	C
Semioses	2018-09-06	2018-09-06	2018-07-27	10.15202/1981996x.2018v12n2p51	2022-03-30	1981-996X	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	CONHECIMENTO DE ESTUDANTES DA EDUCAÇÃO BÁSICA SOBRE IGUALDADE DE GÊNERO	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n2p51	12	Semioses	NA	NA	51-66	NA	NA	NA	NA	NA	Renata Corrêa Sinimbú Gomes, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	FALSE	NA	NA	B3
