journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
JOM	2016-06-17	2017-06-24	2016-06-17	10.1007/s11837-016-1985-z	2023-03-09	1047-4838,1543-1851	9	2016-06-17	297	10.1007	Springer Science and Business Media LLC	1	Crossref	58	58	9	General Engineering,General Materials Science	Fluorescent Lamp Glass Waste Incorporation into Clay Ceramic: A Perfect Solution	journal-article	http://dx.doi.org/10.1007/s11837-016-1985-z	68	JOM	2016-09	en	2425-2434	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA	Alline Sardinha Cordeiro Morais, Carlos Maurício Fontes Vieira, Rubén Jesus Sanchez Rodriguez, Sergio Neves Monteiro, Veronica Scarpini Candido, Carlos Luiz Ferreira	2016	9	FALSE	4.9	0.569	A2
Ciência e Agrotecnologia	2016-08-20	2017-07-26	NA	10.1590/1413-70542016404001116	2022-04-22	1413-7054	4	2016-08	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	24	24	1	Soil Science,General Veterinary,Agronomy and Crop Science,Animal Science and Zoology,Food Science	Functional anatomy and intestinal morphometry of bullfrog tadpoles subjected to a dietary regime with commercial feeds	journal-article	http://dx.doi.org/10.1590/1413-70542016404001116	40	Ciênc. agrotec.	2016-08	NA	464-474	NA	NA	NA	NA	NA	José Teixeira de Seixas Filho, Silvia Conceição Reis Pereira Mello, Fabiane Toste Cardoso, Rodrigo Otavio Lopes de Souza	2016	1	TRUE	2.5	0.34	A2
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.503	2023-03-09	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	9	9	3	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Granite Waste from Diamond Wire Sawing Addition into Concrete for Civil Construction	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.503	820	MSF	NA	NA	503-508	NA	NA	NA	NA	NA	Leonardo Gonçalves Pedroti, Carlos Maurício Fontes Vieira, Jonas Alexandre, Gustavo de Castro Xavier, Verônica Scarpini Candido, Sergio Neves Monteiro	2015	3	FALSE	1.0	0.185	B3
Revista Brasileira de Zootecnia	2017-06-10	2017-06-20	NA	10.1590/s1806-92902017000400001	2022-03-30	1516-3598	4	2017-04	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	23	23	5	Animal Science and Zoology	Histopathological aspects of the liver of free-living and farmed bullfrogs (Lithobates catesbeianus)	journal-article	http://dx.doi.org/10.1590/s1806-92902017000400001	46	R. Bras. Zootec.	2017-04	NA	275-279	NA	NA	NA	NA	NA	José Teixeira de Seixas Filho, Claudio Barberini Camargo Filho, Marcelo Maia Pereira, Ana Maria Cristina Rebello Pinto da Fonseca Martins, Oswaldo Pinto Ribeiro Filho, Sílvia Conceição Reis Pereira Mello, Luara Lucena Cassiano, Marcio Hipolito	2017	5	TRUE	1.8	0.292	A2
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140039	2022-12-10	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	2	General Chemistry	Identification of Sulfur and Nitrogen Mustards by GC/FPD/NPD-MS	journal-article	http://dx.doi.org/10.5935/1984-6835.20140039	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Roberto B. Sousa, Paulo F. P. M. Alves, Samir F. Cavalcante, Leandro B. Bernardo, Cíntia C. Barros, Cintia N. Ferreira, Antonio L. S. Lima	2014	2	TRUE	0.7	0.151	B2
Lex Cult: Revista do CCJF	2018-10-15	2018-10-17	2018-09-05	10.30749/2594-8261.v2n2p245-257	2022-04-05	2594-8261	2	2018-09-05	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	IGUALDADE DE PODER ENTRE HOMENS E MULHERES: REFLEXÕES A PARTIR DA AGENDA 2030 DA ONU	journal-article	http://dx.doi.org/10.30749/2594-8261.v2n2p245-257	2	Lex Cult	NA	NA	245	NA	NA	NA	NA	NA	Maria Geralda De Miranda, Débora Coqui, Patrícia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	TRUE	NA	NA	B2
Revista Augustus	2018-12-18	2018-12-18	2018-12-06	10.15202/1981896.2018v23n46p157	2022-10-15	1981-1896	46	2018-12-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	IMPACTO DAS COMUNIDADES DE POBREZA RELATIVA NOS MANGUEZAIS:  TRABALHADORES DA PESCA ARTESANAL INVISÍVEIS	journal-article	http://dx.doi.org/10.15202/1981896.2018v23n46p157	23	revistaaugustus	NA	NA	157-167	NA	NA	NA	NA	NA	José Teixeira De Seixas Filho, Sílvia Conceição Reis Pereira Mello, Rafael Antunes Da Silva, André Luiz Reis Gracio	2018	1	FALSE	NA	NA	NA
Lex Cult: Revista do CCJF	2018-10-17	2018-10-17	2018-05-29	10.30749/2594-8261.v2n1p153-168	2022-04-06	2594-8261	1	2018-05-29	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	IMPACTOS ECONÔMICOS DO DESASTRE DA SAMARCO	journal-article	http://dx.doi.org/10.30749/2594-8261.v2n1p153-168	2	Lex Cult	NA	NA	153	NA	NA	NA	NA	NA	Fabiano Martins Carvalho Dos Santos, Hugo Almeida Carlos Satiro, Paulo César Encarnação, Maria Geralda De Miranda	2018	0	TRUE	NA	NA	B2
Revista da FAEEBA - Educação e Contemporaneidade	2018-08-31	2021-05-06	2018-08-31	10.21879/faeeba2358-0194.2018.v27.n52.p101-121	2022-04-03	2358-0194,0104-7043	52	2018-08-31	9345	10.21879	Revista da FAEEBA	1	Crossref	0	0	0	General Earth and Planetary Sciences,General Environmental Science	Impactos socioambientais do turismo na Ilha Grande–RJ	journal-article	http://dx.doi.org/10.21879/faeeba2358-0194.2018.v27.n52.p101-121	27	Rev. FAEEBA - Educ. e Contemp.	NA	NA	101-121	NA	NA	NA	NA	NA	Gercton Bernardo Coitinho, Maria Geralda Miranda, Reis Friede	2018	0	TRUE	NA	NA	A2
Semioses	2018-05-30	2019-09-12	2018-05-29	10.15202/1981996x.2018v12n1p100	2022-04-05	1981-996X	1	2018-05-29	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	IMPLANTAÇÃO DE ATIVIDADES DE BRIGADA DE INCÊNDIO NA UNIDADE ESCOLAR	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n1p100	12	Semioses	NA	NA	100-113	NA	NA	NA	NA	NA	Ivan Gaspar, Katherine Bittencourt Mendes Leitão, André Luiz Tenório Rezende	2018	0	FALSE	NA	NA	B3
Semioses	2017-12-28	2017-12-28	2017-12-26	10.15202/1981996x.2017v11n4p1	2022-03-31	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	IMPORTANCE OF THE NUMERICAL SIMULATION IN A SOLAR CHIMNEY ANALYSIS	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p1	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Filipe Alcântara Soares, Priscila Pires Araújo, André Luiz Tenório Rezende	2017	0	TRUE	NA	NA	B3
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.432	2022-04-07	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	23	23	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Improvement of Clay Ceramic Properties by Glass Polishing Sludge Incorporation	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.432	820	MSF	NA	NA	432-437	NA	NA	NA	NA	NA	Juliana Simões Chagas Licurgo, Carlos Mauricio Fontes Vieira, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	1	FALSE	1.0	0.185	B3
Defence Life Science Journal	2017-12-22	2018-01-16	2017-08-03	10.14429/dlsj.2.10723	2022-04-06	2456-0537,2456-379X	3	2017-08-03	5551	10.14429	Defence Scientific Information and Documentation Centre	1	Crossref	0	0	1	General Pharmacology, Toxicology and Pharmaceutics,General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology	In vitro evaluation of neutral oximes as reactivators of parathion-inhibited electric eel acetylcholinesterase	journal-article	http://dx.doi.org/10.14429/dlsj.2.10723	2	Def. Life. Sc. Jl.	NA	NA	363	NA	NA	NA	NA	NA	Joselia A. Lima, Laura P.A.N. Cavalcanti, Alcino P. Aguiar, Claudia M. Rezende, Keila S.C. Lima, Antonio L.S. Lima	2017	1	FALSE	0.9	0.158	B4
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.405	2022-04-02	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Influence of Martensitic Transformation on the Fatigue of Low Temperature Metastable Stainless Steel	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.405	869	MSF	NA	NA	405-410	NA	NA	NA	NA	NA	Sergio Neves Monteiro, Verônica Scarpini Cândido, Luis Carlos da Silva, Frederico Muylaert Margem	2016	0	FALSE	1.0	0.185	B3
Hormone and Metabolic Research	2018-04-05	2018-04-05	2018-04-05	10.1055/a-0588-7944	2022-04-06	0018-5043,1439-4286	04	2018-04	194	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	0	Biochemistry (medical),Clinical Biochemistry,Endocrinology,Biochemistry,General Medicine,Endocrinology, Diabetes and Metabolism	Influence of Stem Cell Therapy on Thyroid Function and Reactive Oxygen Species Production in Diabetic Rats	journal-article	http://dx.doi.org/10.1055/a-0588-7944	50	Horm Metab Res	2018-04	en	331-339	NA	NA	NA	NA	NA	Diorney da Silva, Mariana de Freitas, Gustavo Cahil, Vitória de São José, Felippe Neto, Ricardo Cardoso, Vânia da Costa, Rodrigo Fortunato, Denise de Carvalho, Emiliano Medei, Andrea Ferreira	2018	0	FALSE	4.8	0.579	B1
Semioses	2016-03-28	2016-03-28	2016-03-24	10.15202/1981996x.2015v9n1p67	2022-03-31	1981-996X	1	2016-03-24	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	JUSTIÇA AMBIENTAL EM PROL DOS RESIDUOS INDUSTRIAIS	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n1p67	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alexandre Jesus Pereira, Katia Eliane dos Santos Avelar, Antonio Luis dos Santos Lima, Roy Reis Friede, Maria Geralda de Miranda	2016	0	TRUE	NA	NA	B3
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140047	2022-04-04	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	Measurement of the Inactivation of Ochratoxin by Gamma Radiation. An example of the Potential use of Ionizing Radiation in decontamination of chemical agents	journal-article	http://dx.doi.org/10.5935/1984-6835.20140047	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Monique Cardozo, Stefânia Priscila de Souza, Tanos C. C. França, Claudia M. Rezende, Angelo C. Pinto, Antônio L. dos Santos Lima, Keila dos S. Cople Lima	2014	0	TRUE	0.7	0.151	B2
Revista Virtual de Química	2018-11-13	2018-12-13	2018	10.21577/1984-6835.20180084	2022-03-31	1984-6835	5	2018	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	1	General Chemistry	Metabolomics of Physical Exercise: A Powerful Assessment Tool	journal-article	http://dx.doi.org/10.21577/1984-6835.20180084	10	Rev. Virtual Quim.	NA	NA	1207-1224	NA	NA	NA	NA	NA	Celso S. Sasaqui, Keila S. C. Lima, Roberto B. Sousa, Nicolis A. de Araújo, José Carlos C. S. Pinto, Anna P. Pierucci, Antonio Luís S. Lima	2018	1	TRUE	0.7	0.151	B2
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.468	2022-04-04	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	16	16	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Microstructural Analysis of Clayey Ceramics Incorporated with Fluorescent Lamp Glass Waste	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.468	820	MSF	NA	NA	468-473	NA	NA	NA	NA	NA	Thais Mardegan Louzada, Alline Sardinha Cordeiro Morais, Carlos Mauricio Fontes Vieira, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	1	FALSE	1.0	0.185	B3
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140046	2022-04-04	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	Mycotoxins and their Potential as Warfare Agents	journal-article	http://dx.doi.org/10.5935/1984-6835.20140046	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Marcelo C. dos Santos, Roberto B. Sousa, Sérgio Eduardo M. Oliveira, Keila S. C. Lima, Antônio Luiz S. Lima	2014	0	TRUE	0.7	0.151	B2
Lex Cult Revista do CCJF	2020-05-14	2020-05-14	2019-10-10	10.30749/2594-8261.v3n2p182-198	2022-03-29	2594-8261	2	2019-10-10	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	NEUROANATOMIA E COMUNICAÇÃO	journal-article	http://dx.doi.org/10.30749/2594-8261.v3n2p182-198	3	LexCult	NA	NA	182	NA	NA	NA	NA	NA	Daniella Cavalcante Antunes, Kátia Eliane Santos Avelar, Reis Friede	2019	0	FALSE	NA	NA	B2
Semioses	2018-12-19	2019-09-12	2018-12-19	10.15202/1981996x.2018v12n4p58	2022-04-06	1981-996X	4	2018-12-19	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O DEFICIENTE VISUAL E A EDUCAÇÃO INCLUSIVA	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n4p58	12	Semioses	NA	NA	58-76	NA	NA	NA	NA	NA	Elaine Souza Da Silva, Maria Geralda De Miranda, Reis Friede, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	FALSE	NA	NA	B3
Semioses	2018-09-06	2018-09-06	2018-07-27	10.15202/1981996x.2018v12n2p83	2022-04-04	1981-996X	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O DESENVOLVIMENTO LOCAL SOB A PERSPECTIVA DO TRABALHO: UM ESTUDO DE CASO DA FÁBRICA DE TECIDOS DE BANGU	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n2p83	12	Semioses	NA	NA	83-96	NA	NA	NA	NA	NA	Gercton Bernardo Coitinho, Ana Christina Tavares Martins, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	FALSE	NA	NA	B3
Semioses	2018-05-30	2019-09-12	2018-05-25	10.15202/1981996x.2018v12n1p1	2022-04-01	1981-996X	1	2018-05-25	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O ESPORTE SOCIAL COMO INSTRUMENTO DE DESENVOLVIMENTO LOCAL: ANÁLISE DA EXPECTATIVA DE JOVENS DO INSTITUTO IRMÃOS NOGUEIRA SOB A INFLUÊNCIA DA MÍDIA	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n1p1	12	Semioses	NA	NA	1-13	NA	NA	NA	NA	NA	Raphael Luz, Felipe Da Silva Triani, José Teixeira de Seixas Filho, Jorge Felipe Fonseca Moreira (Columá)	2018	0	FALSE	NA	NA	B3
Semioses	2016-09-23	2016-11-16	2016-09-23	10.15202/10.15202/1981-996x.2016v10n1p71	2022-04-03	1981-996X	1	2016-09-23	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	O ESTADO DA ARTE DA REPRESA RIBEIRÃO DAS LAJES	journal-article	http://dx.doi.org/10.15202/10.15202/1981-996x.2016v10n1p71	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Luana Vasconcelos Barbosa, Erik Terra Abrantes, José Teixeira De Seixas Filho	2016	1	TRUE	NA	NA	B3
Semioses	2016-04-25	2016-04-25	2016-04-06	10.15202/1981996x.2015v9n2p12	2022-04-02	1981-996X	2	2016-04-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O ESTADO DA ARTE DO RESERVATÓRIO JAGUARI NO ABASTECIMENTO DA CIDADE DO RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n2p12	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ana Lucia Soares, Roselena Montenegro dos Anjos Machado, José Teixeira de Seixas Filho	2016	0	TRUE	NA	NA	B3
Química Nova na Escola	2015-07-15	2016-11-28	NA	10.5935/0104-8899.20150025	2022-04-02	0104-8899	2	2015	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	Pharmacology (medical)	O Impacto dos Produtos Domissanitários na Saúde da População do Complexo do Alemão – Rio de Janeiro	journal-article	http://dx.doi.org/10.5935/0104-8899.20150025	37	NA	2015	en	NA	NA	NA	NA	NA	NA	Rodrigo Otavio L. de Souza, José T. de Seixas Filho, Maria Geralda de Miranda, Francisco Moysés de Carvalho Neto	2015	0	FALSE	NA	NA	A2
Semioses	2017-12-27	2017-12-27	2017-12-26	10.15202/1981996x.2017v11n4p47	2022-03-30	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	OBSOLESCÊNCIA PROGRAMADA DAS PROFISSÕES NA ERA TECNOLÓGICA: O SURGIMENTO DO NEOPENSADOR	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p47	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Paulo Ricardo Oliveira da Salgueiro, Kátia Eliane Santos Avelar, Maria Geralda de Miranda, Antonio Luís dos Santos Lima	2017	0	TRUE	NA	NA	B3
Revista Valore	2017-08-03	2023-05-16	2017-08-02	10.22408/reva12201754141-154	2023-05-17	2526-043X,2525-9008	1	2017-08-02	9701	10.22408	Instituto de Cultura Tecnica Sociedade Civil Ltda	1	Crossref	32	32	0	Industrial and Manufacturing Engineering,Surfaces, Coatings and Films	Os efeitos da terapia do riso sobre as atividades instrumentais da vida diária na concepção de indivíduos idosos	journal-article	http://dx.doi.org/10.22408/reva12201754141-154	2	REVA	NA	NA	141-154	NA	NA	NA	NA	NA	Rafael dos Santos, José Teixeira de Seixas Filho, Maria Auxiliadora Terra Cunha, Felipe da Silva Triani, Jorge Felipe Columá	2017	0	TRUE	NA	NA	B2
The Journal of Sports Medicine and Physical Fitness	2019-01-21	2022-09-10	NA	10.23736/s0022-4707.18.08030-1	2022-09-10	0022-4707,1827-1928	2	2019-01	17149	10.23736	Edizioni Minerva Medica	1	Crossref	38	38	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Oxidative stress biomarkers after a single maximal test in blind and non-blind soccer players	journal-article	http://dx.doi.org/10.23736/s0022-4707.18.08030-1	59	J Sports Med Phys Fitness	2019-01	NA	NA	NA	NA	NA	NA	NA	Diego Viana Gomes, Patricia Santos Vigário, Bruna K. Lima Piazera, Filipe Pereira Costa, Mario Vaisman, Veronica Salerno Pinto	2019	1	FALSE	3.3	0.496	A4
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.13	2022-03-29	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	16	16	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Performance of Precursor Materials and Fired Ceramics for Structural Blocks	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.13	820	MSF	NA	NA	13-17	NA	NA	NA	NA	NA	Neila Gondim Azeredo, Euzébio Barnabé Zanelato, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	1	FALSE	1.0	0.185	B3
Semioses	2016-03-28	2016-03-28	2016-03-24	10.15202/1981996x.2015v9n1p88	2022-04-06	1981-996X	1	2016-03-24	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	POLÍTICAS PÚBLICAS ARQUIVÍSTISTICAS: ACESSO SUSTENTÁVEL À INFORMAÇÃO	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n1p88	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Valdete Barros Barbosa, Rafael Reis Pereira Bandeira de Mello, Rodrigo Otavio Lopes de Souza, Silvia Conceição Reis Pereira Mello	2016	0	TRUE	NA	NA	B3
Semioses	2017-12-27	2017-12-27	2017-12-26	10.15202/1981996x.2017v11n4p55	2022-04-05	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	POLÍTICAS PÚBLICAS E INICIATIVAS SOLIDÁRIAS DE FOMENTO À LEITURA	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p55	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Edna Parizze de Viveiros, Vera Aparecida Monteiro da Silva Abrantes, Kátia Eliane Santos Avelar, Maria Geralda de Miranda	2017	0	TRUE	NA	NA	B3
Engenharia Sanitaria e Ambiental	2015-11-14	2017-05-23	NA	10.1590/s1413-41522015020000114401	2023-06-11	1413-4152	3	2015-09	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	17	17	4	Waste Management and Disposal	Por uma nova ética ambiental	journal-article	http://dx.doi.org/10.1590/s1413-41522015020000114401	20	Eng. Sanit. Ambient.	2015-09	NA	331-336	NA	NA	NA	NA	NA	Edna Parizzi de Viveiros, Maria Geralda de Miranda, Ana Maria Pires Novaes, Kátia Eliane Santos Avelar	2015	4	TRUE	0.8	0.185	A4
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.515	2022-04-02	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	13	13	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Pozzolanic Activity of Wastes from Fired Clay Ceramic Industry for Incorporation into Concrete	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.515	820	MSF	NA	NA	515-519	NA	NA	NA	NA	NA	Mateus de Souza Furriel Dias, Leonardo Gonçalves Pedroti, Carlos Mauricio Fontes Vieira, Sérgio Neves Monteiro, Gustavo de Castro Xavier, Verônica Scarpini Candido	2015	0	FALSE	1.0	0.185	B3
Revista Portuguesa de Educação	2016-12-14	2018-06-07	2016-12-14	10.21814/rpe.7123	2023-05-30	2183-0452,0871-9187	2	2016-12-14	9283	10.21814	University of Minho	1	Crossref	0	0	1	Education	Protagonismo infantil na educação física: uma experiência pedagógica com a capoeira	journal-article	http://dx.doi.org/10.21814/rpe.7123	29	RPE	NA	NA	59	NA	NA	NA	NA	NA	Rodrigo Lema Del Rio Martins, Wagner Dos Santos, André Da Silva Mello, Sebastião Josué Votre	2016	1	TRUE	0.5	0.211	A1
Semioses	2017-10-31	2017-10-31	2017-10-27	10.15202/1981996x.2017v11n2p35	2022-04-02	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	QUALIDADE DO SÊMEN DE RÃ-TOURO EM DIFERENTES DOSAGENS DE HORMÔNIO, TEMPOS DE COLETA E DE RESFRIAMENTO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p35	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Marcelo Maia Pereira, Silvia Conceição Reis Pereira de Mello, Jose Teixeira de Seixas Filho, William Nascimento Silva	2017	0	FALSE	NA	NA	B3
African Journal of Agricultural Research	2016-01-22	2017-06-24	2016-01-21	10.5897/ajar2015.9565	2023-04-17	1991-637X	3	2016-01-21	3908	10.5897	Academic Journals	1	Crossref	40	40	4	General Agricultural and Biological Sciences	Quality index method (QIM) and quantitative descriptive analysis (QDA) of Nile tilapia (Oreochromis niloticus) quality indices	journal-article	http://dx.doi.org/10.5897/ajar2015.9565	11	Afr. J. Agric. Res.	NA	NA	209-216	http://dx.doi.org/10.5897/crossmark_policy	NA	NA	NA	NA	Pacheco Rodrigues Tatiana, Teixeira Marsico Eliane, Maia Franco Robson, Concei ccedil atilde o Reis Pereira Mello Silvia, Costa Soares Ivone, Oliveira Cavalcanti Zuniga Natalia, Queiroz de Freitas Monica	2016	4	TRUE	NA	NA	B3
Revista Virtual de Química	2014-10-29	2016-11-28	NA	10.5935/1984-6835.20140086	2022-04-05	1984-6835	5	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	4	General Chemistry	Quantification and Characterization of the Main Components of the Ethanolic Extract of Indian Cloves,<i>Syzygium aromaticum</i>[I] Merr. et Perry	journal-article	http://dx.doi.org/10.5935/1984-6835.20140086	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Raphael S. Affonso, Bruno Lessa, Glaucia B. C. A. Slana, Larissa L. Barboza, Fernanda V. de Almeida, Antônio Luiz S. Lima, Felipe R. de Souza, Tanos C. C. França	2014	4	TRUE	0.7	0.151	B2
Ciência Animal Brasileira	2013-04-01	2021-02-13	2013-03-27	10.5216/cab.v14i1.16049	2022-04-05	1809-6891,1518-2797	1	2013-03-27	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	2	General Veterinary,Animal Science and Zoology	REGIME ALIMENTAR DE GIRINOS DE RÃ TOURO	journal-article	http://dx.doi.org/10.5216/cab.v14i1.16049	14	Ci. Anim. Bras.	NA	NA	NA	NA	NA	NA	NA	NA	José T. de Seixas Filho, Rodrigo Diana Navarro, Silvana L. Ribeiro Garcia, Ana Carolina Da S. Santos	2013	2	TRUE	0.7	0.171	B1
Formação (Online)	2020-08-26	2020-08-26	2020-08-25	10.33081/formacao.v27i51.6794	2022-03-29	2178-7298,1517-543X	51	2020-08-25	18537	10.33081	Revista Formacao	1	Crossref	0	0	0	Microbiology	RESÍDUOS SÓLIDOS URBANOS (RSU): UMA ANÁLISE DO SETOR ENERGÉTICO EM ASCENSÃO COM BASE NO IMPACTO AMBIENTAL E NA QUALIDADE DE VIDA	journal-article	http://dx.doi.org/10.33081/formacao.v27i51.6794	27	RF	NA	NA	NA	NA	NA	NA	NA	NA	Helen Gonçalves Romeiro Ferreira, Gustavo Malavota Pedroso, Rodrigo Gomes Alves, Gustavo Monnerat Cahli, Sílvia Conceição Reis Pereira Mello	2020	0	TRUE	NA	NA	A3
